Capacity data calculated from MERRA-2,,,,,0.264906501
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,30,18,0.659621231,
2018,1,30,19,0.657462941,
2018,1,30,20,0.673718241,
2018,1,30,21,0.700338941,
2018,1,30,22,0.59979341,
2018,1,30,23,0.143521875,
2018,1,30,24,0,
2018,1,31,1,0,
2018,1,31,2,0,
2018,1,31,3,0,
2018,1,31,4,0,
2018,1,31,5,0,
2018,1,31,6,0,
2018,1,31,7,0,
2018,1,31,8,0,
2018,1,31,9,0,
2018,1,31,10,0,
2018,1,31,11,0,
2018,1,31,12,0,
2018,1,31,13,0.000497364,
2018,1,31,14,0.43587984,
2018,1,31,15,0.690335267,
2018,1,31,16,0.704919698,
2018,1,31,17,0.670196129,
2018,1,31,18,0.649305462,
2018,1,31,19,0.652937465,
2018,1,31,20,0.669103869,
2018,1,31,21,0.70091499,
2018,1,31,22,0.563249541,
2018,1,31,23,0.141174444,
2018,1,31,24,0,
2018,2,1,1,0,
2018,2,1,2,0,
2018,2,1,3,0,
2018,2,1,4,0,
2018,2,1,5,0,
2018,2,1,6,0,
2018,2,1,7,0,
2018,2,1,8,0,
2018,2,1,9,0,
2018,2,1,10,0,
2018,2,1,11,0,
2018,2,1,12,0,
2018,2,1,13,0.000609575,
2018,2,1,14,0.496369068,
2018,2,1,15,0.724294779,
2018,2,1,16,0.742395282,
2018,2,1,17,0.69791022,
2018,2,1,18,0.674917776,
2018,2,1,19,0.676634101,
2018,2,1,20,0.701151035,
2018,2,1,21,0.718033626,
2018,2,1,22,0.590061984,
2018,2,1,23,0.157711563,
2018,2,1,24,0,
2018,2,2,1,0,
2018,2,2,2,0,
2018,2,2,3,0,
2018,2,2,4,0,
2018,2,2,5,0,
2018,2,2,6,0,
2018,2,2,7,0,
2018,2,2,8,0,
2018,2,2,9,0,
2018,2,2,10,0,
2018,2,2,11,0,
2018,2,2,12,0,
2018,2,2,13,0.000683796,
2018,2,2,14,0.373094866,
2018,2,2,15,0.606740272,
2018,2,2,16,0.67078972,
2018,2,2,17,0.66208962,
2018,2,2,18,0.647601905,
2018,2,2,19,0.658004132,
2018,2,2,20,0.689051083,
2018,2,2,21,0.700019624,
2018,2,2,22,0.588546375,
2018,2,2,23,0.177517081,
2018,2,2,24,0,
2018,2,3,1,0,
2018,2,3,2,0,
2018,2,3,3,0,
2018,2,3,4,0,
2018,2,3,5,0,
2018,2,3,6,0,
2018,2,3,7,0,
2018,2,3,8,0,
2018,2,3,9,0,
2018,2,3,10,0,
2018,2,3,11,0,
2018,2,3,12,0,
2018,2,3,13,0.000525213,
2018,2,3,14,0.232445887,
2018,2,3,15,0.441994839,
2018,2,3,16,0.563819874,
2018,2,3,17,0.600995639,
2018,2,3,18,0.594668379,
2018,2,3,19,0.587400985,
2018,2,3,20,0.60030668,
2018,2,3,21,0.628755734,
2018,2,3,22,0.564661608,
2018,2,3,23,0.181721067,
2018,2,3,24,0,
2018,2,4,1,0,
2018,2,4,2,0,
2018,2,4,3,0,
2018,2,4,4,0,
2018,2,4,5,0,
2018,2,4,6,0,
2018,2,4,7,0,
2018,2,4,8,0,
2018,2,4,9,0,
2018,2,4,10,0,
2018,2,4,11,0,
2018,2,4,12,0,
2018,2,4,13,0.001036677,
2018,2,4,14,0.524493686,
2018,2,4,15,0.738930222,
2018,2,4,16,0.740949444,
2018,2,4,17,0.695432922,
2018,2,4,18,0.674504531,
2018,2,4,19,0.676512062,
2018,2,4,20,0.695745194,
2018,2,4,21,0.722141829,
2018,2,4,22,0.613970278,
2018,2,4,23,0.199049783,
2018,2,4,24,0,
2018,2,5,1,0,
2018,2,5,2,0,
2018,2,5,3,0,
2018,2,5,4,0,
2018,2,5,5,0,
2018,2,5,6,0,
2018,2,5,7,0,
2018,2,5,8,0,
2018,2,5,9,0,
2018,2,5,10,0,
2018,2,5,11,0,
2018,2,5,12,0,
2018,2,5,13,0.001259964,
2018,2,5,14,0.468468455,
2018,2,5,15,0.648406272,
2018,2,5,16,0.711036142,
2018,2,5,17,0.695754104,
2018,2,5,18,0.675927906,
2018,2,5,19,0.674186957,
2018,2,5,20,0.691388539,
2018,2,5,21,0.704325082,
2018,2,5,22,0.601901407,
2018,2,5,23,0.216192114,
2018,2,5,24,0,
2018,2,6,1,0,
2018,2,6,2,0,
2018,2,6,3,0,
